"","statefp","name","state_name","LON","LAT"
"80","51","Dickenson","Virginia",-82.3580149834563,-82.3580149834563
"81","08","Elbert","Colorado",-104.135872147825,-104.135872147825
"82","16","Gooding","Idaho",-114.810703063462,-114.810703063462
"83","17","Saline","Illinois",-88.5411970600474,-88.5411970600474
"84","20","Douglas","Kansas",-95.2925121010336,-95.2925121010336
"85","27","Swift","Minnesota",-95.6826409189486,-95.6826409189486
"86","39","Morrow","Ohio",-82.7892798909562,-82.7892798909562
"87","48","Dickens","Texas",-100.77888550046,-100.77888550046
"88","48","Titus","Texas",-94.967972729451,-94.967972729451
"89","72","Toa Alta","Puerto Rico",-66.2500496381279,-66.2500496381279
"90","51","Isle of Wight","Virginia",-76.707782423178,-76.707782423178
"91","48","Gillespie","Texas",-98.9467691473599,-98.9467691473599
"92","20","Kearny","Kansas",-101.321680955295,-101.321680955295
"93","31","Arthur","Nebraska",-101.695955850381,-101.695955850381
"94","37","New Hanover","North Carolina",-77.878643138848,-77.878643138848
"95","16","Benewah","Idaho",-116.658685118652,-116.658685118652
"96","26","Benzie","Michigan",-86.0158956022869,-86.0158956022869
"97","12","St. Johns","Florida",-81.4359776635498,-81.4359776635498
"98","47","Obion","Tennessee",-89.149215890153,-89.149215890153
"99","51","Danville","Virginia",-79.3956688922731,-79.3956688922731
"100","08","Broomfield","Colorado",-105.056633471758,-105.056633471758
"101","31","Clay","Nebraska",-98.0512629590081,-98.0512629590081
"102","20","Jefferson","Kansas",-95.3828923239211,-95.3828923239211
"103","27","Grant","Minnesota",-96.0113960884993,-96.0113960884993
"104","28","Newton","Mississippi",-89.1184333642129,-89.1184333642129
"105","31","Hamilton","Nebraska",-98.0209911670718,-98.0209911670718
"106","31","Lancaster","Nebraska",-96.6877715511146,-96.6877715511146
"107","39","Clinton","Ohio",-83.8085228556901,-83.8085228556901
"108","48","Gray","Texas",-100.812922233811,-100.812922233811
"109","48","Hamilton","Texas",-98.1108388694813,-98.1108388694813
"110","51","Fluvanna","Virginia",-78.2776117854779,-78.2776117854779
"111","54","Doddridge","West Virginia",-80.7067171093525,-80.7067171093525
"112","51","Greene","Virginia",-78.4652239605864,-78.4652239605864
"113","28","Wayne","Mississippi",-88.6957391342645,-88.6957391342645
"114","39","Hardin","Ohio",-83.6598955487402,-83.6598955487402
"115","05","Lawrence","Arkansas",-91.1086719808228,-91.1086719808228
"116","18","Steuben","Indiana",-85.0010109360036,-85.0010109360036
"117","19","Des Moines","Iowa",-91.1832796983304,-91.1832796983304
"118","26","Baraga","Michigan",-88.3664283748464,-88.3664283748464
"119","31","Nuckolls","Nebraska",-98.047439605335,-98.047439605335
"120","39","Lake","Ohio",-81.2367653851416,-81.2367653851416
"121","44","Bristol","Rhode Island",-71.2865056036626,-71.2865056036626
"122","05","Searcy","Arkansas",-92.6993648163726,-92.6993648163726
"123","13","Macon","Georgia",-84.046516029257,-84.046516029257
"124","27","McLeod","Minnesota",-94.2728701721564,-94.2728701721564
"125","29","Iron","Missouri",-90.7735296023172,-90.7735296023172
"126","19","Marshall","Iowa",-92.9990818994401,-92.9990818994401
"127","47","Warren","Tennessee",-85.7796921858376,-85.7796921858376
"128","48","Randall","Texas",-101.897132181679,-101.897132181679
"129","28","DeSoto","Mississippi",-89.9909141826399,-89.9909141826399
"130","55","Washburn","Wisconsin",-91.7905044925543,-91.7905044925543
"131","51","Madison","Virginia",-78.2828498092333,-78.2828498092333
"132","39","Madison","Ohio",-83.4017831699213,-83.4017831699213
"133","48","Hartley","Texas",-102.602902232174,-102.602902232174
"134","19","Mahaska","Iowa",-92.6408390671213,-92.6408390671213
"135","13","White","Georgia",-83.7490552462046,-83.7490552462046
"136","21","Gallatin","Kentucky",-84.8558381963505,-84.8558381963505
"137","18","Pulaski","Indiana",-86.6989068337049,-86.6989068337049
"138","20","Clark","Kansas",-99.8188301540335,-99.8188301540335
